name,status,png,raw_segments,kept_segments,masked_fraction,background_level,background_rms,error
NGC3992,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC3992_sep_thr2.5_area15_deb0.0001_dil2.png,1554,1551,0.033318459314175125,0.044104188680648804,0.02018730342388153,
NGC4020,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4020_sep_thr2.5_area15_deb0.0001_dil2.png,469,468,0.055415652764416276,0.07306794077157974,0.00898701511323452,
NGC4064,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4064_sep_thr2.5_area15_deb0.0001_dil2.png,611,610,0.044472527372063864,0.04983143508434296,0.013170872814953327,
NGC4102,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4102_sep_thr2.5_area15_deb0.0001_dil2.png,397,396,0.022493501438718914,0.04222023859620094,0.0161911454051733,
NGC4116,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4116_sep_thr2.5_area15_deb0.0001_dil2.png,670,669,0.05280236344551915,0.10168677568435669,0.0145374471321702,
NGC4123,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4123_sep_thr2.5_area15_deb0.0001_dil2.png,410,409,0.03540993279281191,0.052900590002536774,0.016510963439941406,
NGC4133,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4133_sep_thr2.5_area15_deb0.0001_dil2.png,547,546,0.04446110188068079,0.011321112513542175,0.016116006299853325,
NGC4145,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4145_sep_thr2.5_area15_deb0.0001_dil2.png,963,962,0.036589421559503094,0.0658634677529335,0.022848445922136307,
NGC4204,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4204_sep_thr2.5_area15_deb0.0001_dil2.png,1150,1149,0.026211951748150115,0.06597074121236801,0.021844208240509033,
NGC4214,ok,Foreground Masking\Azure\mean-parameter-4sets\full-batches\sep-spike\NGC4214_sep_thr2.5_area15_deb0.0001_dil2.png,1225,1224,0.1484939310447539,0.011751491576433182,0.007170733995735645,
