rank,name,status,pollution_score,source_score,source_count,contaminated_pixels,coverage_fraction,residual_sigma,aperture_radius_pixels,center_radius_pixels,rejected_large_segments,image_path,error
91,NGC4579,ok,90.51533959940026,90.13947283768682,19,464,0.01503467046853736,0.028663234017932956,99.81332789058449,11.644888253901524,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4579.phot.1.fits,
92,NGC3380,ok,91.15320899916105,90.6289401752656,14,337,0.020970752955818295,0.014248705420842129,72.0,8.399999999999999,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC3380.phot.1.fits,
93,NGC5713,ok,91.53580677598491,89.97529144301448,16,344,0.06242061331881691,0.08816539761038512,42.18155488175937,4.921181402871926,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5713.phot.1.fits,
94,ESO572-030,ok,91.7351202945425,91.43275227553045,20,285,0.012094720760482092,0.012522028366183853,87.19999694824219,10.17333297729492,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/ESO572-030.phot.1.fits,
95,NGC4668,ok,92.76220474003271,92.09862569434111,16,341,0.026543161827664048,0.014599024153735521,64.4000015258789,7.513333511352538,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4668.phot.1.fits,
96,NGC4457,ok,93.55421199348102,93.13138168096525,15,335,0.01691321250063109,0.01036335745770296,79.94875370845071,9.32735459931925,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4457.phot.1.fits,
97,IC1933,ok,93.69081468691545,92.9450113296013,16,311,0.029832134292565947,0.021357446174870977,58.0,6.766666666666666,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/IC1933.phot.1.fits,
98,NGC1302,ok,94.83815139525434,94.61796215521399,23,323,0.008807569601614267,0.014909859422819608,108.80000305175781,12.693333689371745,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC1302.phot.1.fits,
99,UGC08489,ok,95.35344545991265,95.06267473801151,21,324,0.011630828876045518,0.011403704569532385,94.80000305175781,11.060000356038412,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/UGC08489.phot.1.fits,
100,NGC4639,ok,95.6074812818788,94.69671582956607,14,445,0.03643061809250921,0.01825864773065435,62.781847277051035,7.324548848989287,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4639.phot.1.fits,
101,NGC5042,ok,95.64582136843404,95.18974028735296,21,351,0.018243243243243244,0.021977056591889595,78.80000305175781,9.193333689371745,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC5042.phot.1.fits,
102,NGC4450,ok,97.09435235199606,96.82534666175039,19,399,0.010760227609827136,0.016514501716210085,109.37774418104226,12.760736821121597,0,/mnt/d/Dropbox/Public Documents/UCLAN/MSc Research/Erwin/s4g_images_36um/NGC4450.phot.1.fits,
