designation,parallax,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
Gaia DR3 64441143849872512,7.502620664779662,0.7424,0.6983,0.7942,Gaia DR3 64441143849872512,55.411994972363985,22.27773027977489,7.5026,21.008,-44.6035,0.0,2016.0,0.0
Gaia DR3 64445988572906752,7.315890465343226,0.6079,0.59,0.6184,Gaia DR3 64445988572906752,55.22943355100129,22.349516222822036,7.3159,20.1398,-44.1354,-54.1285,2016.0,0.0
Gaia DR3 64449321467581056,7.5227639640978365,0.7654,0.7533,0.7781,Gaia DR3 64449321467581056,55.50707154580541,22.39060459879524,7.5228,21.5045,-46.9088,0.0,2016.0,0.0
Gaia DR3 64453685154291968,7.48747040106267,0.7688,0.7528,0.7851,Gaia DR3 64453685154291968,55.43784879484009,22.46704884658764,7.4875,20.4846,-45.3384,0.0,2016.0,0.0
Gaia DR3 64453887017111808,7.375999275620265,0.7286,0.7102,0.7483,Gaia DR3 64453887017111808,55.45675204081487,22.49340284922183,7.376,21.2078,-46.0472,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64555694921236352,7.139342266293386,0.4605,0.4511,0.4683,Gaia DR3 64555694921236352,53.7290192463056,22.07944691146216,7.1393,19.4894,-43.0102,0.0,2016.0,7.481665119381309E-15
Gaia DR3 64574352259640192,7.417864263812696,0.7485,0.7321,0.7646,Gaia DR3 64574352259640192,54.42237617359707,22.2884749156679,7.4179,20.2428,-44.9757,0.0,2016.0,0.0
Gaia DR3 64588753286083328,7.102051730797974,0.7477,0.7283,0.7691,Gaia DR3 64588753286083328,53.943451846806774,22.413712390200445,7.1021,20.767,-44.5579,0.0,2016.0,1.3609196912353937E-14
Gaia DR3 64589062523316736,7.152749681642172,0.564,0.5545,0.5728,Gaia DR3 64589062523316736,53.93454089287151,22.45259124715032,7.1527,21.2658,-43.372,11.3357,2016.0,7.466238880878397E-15
Gaia DR3 64600813554014592,7.1019984947196955,0.5606,0.5466,0.5739,Gaia DR3 64600813554014592,54.934180118737586,22.12920112313305,7.102,20.7426,-42.9574,0.0,2016.0,0.0
Gaia DR3 64642801154268672,7.301884780583152,0.5889,0.5819,0.5953,Gaia DR3 64642801154268672,55.355615544447744,22.548726260993725,7.3019,21.1301,-44.5013,40.9099,2016.0,1.3596836566289744E-14
Gaia DR3 64644484781444864,7.011106189930256,0.619,0.6086,0.6303,Gaia DR3 64644484781444864,55.33339566545284,22.631451536825736,7.0111,18.6675,-42.99,-183.506,2016.0,0.0
Gaia DR3 64653383953596032,7.401384626754442,0.5981,0.5822,0.6181,Gaia DR3 64653383953596032,55.02925859013083,22.64639061215007,7.4014,20.8467,-45.5302,0.0,2016.0,0.0
Gaia DR3 64656201452146304,7.604703051583063,0.5905,0.5694,0.6027,Gaia DR3 64656201452146304,54.93671006565371,22.654103017730275,7.6047,20.7514,-46.5048,0.0,2016.0,7.105427357601002E-15
Gaia DR3 64665203703566848,7.382203157174722,0.6235,0.6086,0.6459,Gaia DR3 64665203703566848,55.18006539676142,22.83147815980321,7.3822,20.6993,-44.3638,0.0,2016.0,7.450334281935084E-15
Gaia DR3 64667535869958784,7.198159429661968,0.609,0.5919,0.627,Gaia DR3 64667535869958784,55.2270611799686,22.9069549713295,7.1982,19.8007,-44.3091,0.0,2016.0,3.552713678800501E-15
Gaia DR3 64671903852618624,7.388471608091407,0.0145,0.0064,0.0267,Gaia DR3 64671903852618624,54.59418238508955,22.499479201832393,7.3885,21.4685,-44.8076,0.0,2016.0,0.0
Gaia DR3 64679840952155264,7.3735646873637215,0.0983,0.0928,0.1029,Gaia DR3 64679840952155264,54.66976712540925,22.659409622396907,7.3736,20.1572,-45.3594,6.9023,2016.0,0.0
Gaia DR3 64720179284934016,7.405449545963815,0.6711,0.6594,0.6831,Gaia DR3 64720179284934016,55.09941652410235,23.069039348143807,7.4054,20.7405,-44.9325,0.0,2016.0,0.0
