evaluation,image,truth_pixels,incremental_pixels,overlap_pixels,masked_fraction,recall,precision,f_score,mean_toy_recall,recovered_toys,toy_count,false_positive_fraction,segments
17,NGC0289,1142,72819,385,0.02016043295968744,0.3371278458844133,0.005287081668245925,0.010410892226984492,0.32404371584699454,2,6,0.020060185541622793,530
17,IC1954,832,32892,82,0.031849748819626544,0.0985576923076923,0.0024930074182171955,0.004863005574664927,0.16809560132214596,1,6,0.03179596314342974,227
17,NGC0578,838,50368,222,0.023989994008217032,0.2649164677804296,0.004407560355781448,0.008670858883724564,0.3388349913128231,1,6,0.023893793503038066,279
17,NGC3992,1064,155578,814,0.030636409787235887,0.7650375939849624,0.005232102225250356,0.010393125726178162,0.746995037039258,6,6,0.030482503739308452,942
17,NGC3359,1624,62196,1351,0.020571970640388418,0.8318965517241379,0.021721654125667244,0.04233782513318708,0.5864597811907305,4,6,0.02013592952077183,411
18,NGC1097,1064,158507,585,0.04594151454223839,0.549812030075188,0.00369068873929858,0.007332159352263257,0.5217824303739745,4,6,0.04578607862221368,1050
18,NGC4133,530,24540,79,0.021414210518967372,0.1490566037735849,0.0032192339038304807,0.006302353410450738,0.13573883161512026,1,6,0.021355149733115194,185
18,IC4901,768,90779,162,0.031705168718898696,0.2109375,0.0017845536963394617,0.003539165674462298,0.12217194570135746,1,6,0.031657080493115004,603
18,NGC0986,1256,84870,643,0.0449081121924969,0.5119426751592356,0.00757629315423589,0.014931611824536143,0.4552373690304725,2,6,0.044597514670896954,600
18,NGC0289,1142,49803,523,0.013788297596661772,0.45796847635726795,0.010501375419151457,0.020531946216507998,0.3125760916143987,2,6,0.013647816543214116,373
18,IC1954,832,23289,77,0.02255103977442182,0.09254807692307693,0.0033062819356777877,0.006384478255462045,0.15418255784388507,1,6,0.022494602148286837,172
18,NGC0578,838,36059,206,0.017174698100823893,0.2458233890214797,0.005712859480296181,0.011166219475838143,0.3046583661750996,1,6,0.017083400041168265,200
18,NGC3992,1064,107474,578,0.02116377319076855,0.543233082706767,0.005378044922492882,0.010650647699423244,0.6118289431102775,5,6,0.02105436483754049,702
18,NGC3359,1624,43634,1234,0.014432397050014603,0.7598522167487685,0.028280698537837465,0.054531795483671396,0.5396690202519643,4,6,0.01403177601578972,301
19,NGC1097,1064,170768,732,0.049495230843741696,0.6879699248120301,0.0042865173803054435,0.00851994971832953,0.7428523545800636,5,6,0.04929827170759441,2913
19,NGC4133,530,30314,124,0.026452745626404924,0.2339622641509434,0.0040905192320380025,0.008040461678122163,0.3024054982817869,2,6,0.026356729914670196,644
19,IC4901,768,100545,452,0.0351160090862608,0.5885416666666666,0.0044954995275747174,0.008922843070484538,0.5965279283731018,4,6,0.0349675243916413,1794
19,NGC0986,1256,89672,730,0.04744904249470463,0.5812101910828026,0.008140779730573646,0.016056660214675344,0.5954508741891077,3,6,0.04709406900232606,1695
19,NGC0289,1142,73791,536,0.020429537737792276,0.46935201401050786,0.007263758452927864,0.014306113461358815,0.377019430460952,2,6,0.020287556835899962,1574
19,IC1954,832,29134,119,0.02821082883713364,0.14302884615384615,0.004084574723690533,0.007942334645932057,0.17669145037250664,1,6,0.028118252685358544,550
19,NGC0578,838,47116,249,0.022441084769916488,0.2971360381861575,0.005284828932846592,0.010384952245902324,0.45767629680785754,2,6,0.02233140071205849,791
19,NGC3992,1064,135909,700,0.02676319156804588,0.6578947368421053,0.005150505117394727,0.010220992458367708,0.6812894852115808,5,6,0.02663092739970637,2419
19,NGC3359,1624,59152,1205,0.019565136139305675,0.7419950738916257,0.020371246956992155,0.03965381071475582,0.6804113089254408,5,6,0.019176870867617143,1184
20,NGC1097,1064,123389,693,0.03576294761652326,0.6513157894736842,0.005616383956430476,0.011136734349513469,0.7221746141065065,5,6,0.03557305950172319,4897
20,NGC4133,530,21036,145,0.018356533515770074,0.27358490566037735,0.006892945426887241,0.013447092645831401,0.46907216494845355,3,6,0.01823843804727973,1186
20,IC4901,768,74239,387,0.025928463857525643,0.50390625,0.00521289349263864,0.010319036889890276,0.5042468060409523,4,6,0.02580022190734111,3259
20,NGC0986,1256,62055,648,0.032835782986984745,0.5159235668789809,0.010442349528643945,0.020470376395886968,0.539303763873873,3,6,0.032514509401923006,2878
20,NGC0289,1142,62448,551,0.017289151422933042,0.48248686514886163,0.008823341019728414,0.01732976883157729,0.5250020413472513,3,6,0.01714202314479148,3518
20,IC1954,832,23990,449,0.023229827136776137,0.5396634615384616,0.018716131721550646,0.03617758440093466,0.45923913352771617,2,6,0.02281343396401949,1033
20,NGC0578,838,37447,284,0.017835794663788578,0.33890214797136037,0.007584052127006169,0.014836097688389708,0.5002693342363502,2,6,0.017707594782303746,1608
20,NGC3992,1064,110782,645,0.021815184338721195,0.606203007518797,0.005822245491144771,0.011533716002360389,0.6359670383823934,5,6,0.02169271609893913,5018
20,NGC3359,1624,42320,1060,0.013997777951978228,0.6527093596059114,0.02504725897920605,0.04824321864190788,0.6238151449611512,5,6,0.01365450656630858,2313
21,NGC1097,1064,100264,684,0.029060420133262186,0.6428571428571429,0.006821989946541132,0.01350071056371388,0.716874260749616,5,6,0.02887107375286558,3360
21,NGC4133,530,15216,124,0.013277857671418399,0.2339622641509434,0.00814931650893796,0.015750031754096276,0.3024054982817869,2,6,0.013175745871884817,719
21,IC4901,768,56659,375,0.019788532088303255,0.48828125,0.006618542508692353,0.013060058857331917,0.4948017548109112,4,6,0.019662834992048787,2096
21,NGC0986,1256,49142,648,0.026002998107266202,0.5159235668789809,0.013186276504822758,0.025715306162942975,0.539303763873873,3,6,0.02567718043442693,1939
21,NGC0289,1142,38479,470,0.010653171560386891,0.4115586690017513,0.012214454637594532,0.02372479240806643,0.33736159190904896,2,6,0.010526377008746457,1887
21,IC1954,832,18095,447,0.017521622427676707,0.5372596153846154,0.024702956617850234,0.047234110001585033,0.4583258915185837,2,6,0.017102564997112102,644
21,NGC0578,838,28217,301,0.013439597778944169,0.35918854415274465,0.010667328206400397,0.020719325417311998,0.5164413433821763,2,6,0.013301542285143594,974
21,NGC3992,1064,76010,624,0.014967884327654293,0.5864661654135338,0.008209446125509801,0.016192230843085867,0.6232832205439364,5,6,0.014848117306941582,2865
21,NGC3359,1624,29047,1059,0.009607595845253109,0.6520935960591133,0.03645815402623335,0.06905545955462816,0.623356008138378,4,6,0.009262295922875535,1348
22,NGC1097,1064,136343,708,0.03951752236325467,0.6654135338345865,0.005192785841590694,0.010305151848159118,0.7299905552985232,5,6,0.03932444354759915,5173
22,NGC4133,530,23909,145,0.02086358432347151,0.27358490566037735,0.006064661842820695,0.011866279307663982,0.46907216494845355,3,6,0.020746648880166363,1285
22,IC4901,768,83529,395,0.029173058063218245,0.5143229166666666,0.004728896550898491,0.00937162651102649,0.5135674617554518,4,6,0.02904289183833743,3482
22,NGC0986,1256,68494,653,0.03624291547676308,0.5199044585987261,0.009533681782345899,0.01872401433691756,0.5446350014354837,3,6,0.03592126031781163,3041
