name,status,report_png,cleaned_fits,raw_segments,kept_segments,masked_fraction,background_level,background_rms,elapsed_seconds,error
NGC1493,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1493_sep_thr3.4_area1_deb0.0009_dil3.png,,3326,3325,0.06365486966512324,-0.005047176498919725,0.02238088846206665,1.709772400005022,
NGC1512,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1512_sep_thr3.4_area1_deb0.0009_dil3.png,,4460,4459,0.08145421829632356,-0.004252056125551462,0.011445302516222,2.0111270000052173,
NGC1559,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1559_sep_thr3.4_area1_deb0.0009_dil3.png,,3375,3374,0.07823522761182274,-0.006445960607379675,0.013978799805045128,1.4107829999993555,
NGC1640,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1640_sep_thr3.4_area1_deb0.0009_dil3.png,,1103,1102,0.08569576319648509,-0.005395230371505022,0.017954368144273758,1.1191833000048064,
NGC1672,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1672_sep_thr3.4_area1_deb0.0009_dil3.png,,1866,1864,0.09147232177738522,-0.009090019389986992,0.015256049111485481,1.4541596000053687,
NGC1800,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1800_sep_thr3.4_area1_deb0.0009_dil3.png,,1417,1416,0.13529282142554452,-0.005128834396600723,0.009356117807328701,0.7618149999907473,
NGC1808,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1808_sep_thr3.4_area1_deb0.0009_dil3.png,,2249,2248,0.1508517722878625,-0.007762923836708069,0.01155784260481596,1.591133699999773,
NGC1879,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC1879_sep_thr3.4_area1_deb0.0009_dil3.png,,1314,1313,0.09493643105015286,-0.005019105970859528,0.016846276819705963,1.4098685000062687,
NGC2500,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC2500_sep_thr3.4_area1_deb0.0009_dil3.png,,1570,1564,0.08897381292725381,-0.008751792833209038,0.017067844048142433,0.9214843999943696,
NGC2681,ok,Foreground Masking\Azure\separate-low-foreground-toy-optimisations\full-batches\sep-toy\NGC2681_sep_thr3.4_area1_deb0.0009_dil3.png,,1839,1838,0.0759927623901243,-0.007562090642750263,0.016113918274641037,0.9165487999998732,
