evaluation,image,truth_pixels,incremental_pixels,overlap_pixels,masked_fraction,recall,precision,f_score,mean_toy_recall,recovered_toys,toy_count,false_positive_fraction,segments
30,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
30,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
30,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
30,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
30,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
30,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
30,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
30,NGC3992,1064,362,0,7.128501679530133e-05,0.0,0.0,0.0,0.0,0,6,7.129995576251363e-05,2
30,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
31,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
31,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
31,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
31,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
31,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
31,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
31,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
31,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
31,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
32,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,3
32,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
32,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,8
32,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
32,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
32,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
32,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,2
32,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,2
32,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
33,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,5
33,NGC4133,530,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
33,IC4901,768,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,10
33,NGC0986,1256,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
33,NGC0289,1142,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,0
33,IC1954,832,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,2
33,NGC0578,838,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,2
33,NGC3992,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,3
33,NGC3359,1624,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,1
34,NGC1097,1064,0,0,0.0,0.0,0.0,0.0,0.0,0,6,0.0,5
